,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9
0,3941300.8505423707,3218378.415798932,3218370.9320313623,3218376.015740311,3218379.6555574383,3218376.587587269,3218376.4797446225,3218377.4112456543,3218376.332728719,3218378.4962673825
1,3857126.3423608304,2413748.9274095865,2413744.02849686,2413746.778058673,2413749.3819176834,2413747.29552732,2413746.7324291933,2413744.3227546066,2413746.481028159,2413748.198547833
2,3768723.2520743306,1607508.5855126611,1607505.2168621724,1607506.9627152937,1607508.1520119968,1607507.365672059,1607506.4915683558,1607501.2721383946,1607506.0699311697,1607507.059154362
3,3675878.243361769,1258920.4262560199,1258920.40653436,1258920.4283605856,1258920.4373176328,1258920.4278323932,1258920.4271295683,1258920.5064865318,1258920.4437664635,1258920.442506962
4,3578366.901883505,1280873.0714342822,1280872.9686855725,1280873.0845380577,1280872.980258206,1280873.058437903,1280872.9784954097,1280872.9785077118,1280872.9687932697,1280873.0712755485
5,3475953.5465493663,1314881.6677137557,1314881.7011309627,1314881.7275887486,1314881.6996569862,1314881.7112641041,1314881.6533309314,1314881.6788131003,1314881.7105031759,1314881.7107993157
6,3368390.2793812477,1356010.9644413562,1356010.9636219111,1356010.9680345955,1356010.972075605,1356010.9754100735,1356010.9662504366,1356010.9581736366,1356010.9795126424,1356010.9616810333
7,3255416.6570538254,1401982.4460250225,1401982.607828062,1401982.6148794245,1401982.6296490035,1401982.6239312962,1401982.5701503959,1401982.5562435135,1401982.628370944,1401982.598748696
8,3136758.87384327,1451350.905985101,1451351.0407846312,1451351.0665396145,1451351.107534062,1451351.0694863389,1451351.0290713904,1451351.064873854,1451351.0765794467,1451350.9746608096
9,3012129.124834336,1503342.3366096823,1503342.199254455,1503342.289608452,1503342.3310062669,1503342.3214366336,1503342.2415343572,1503342.332357178,1503342.3146079988,1503342.2790029827
10,2881224.806255671,1557310.1479741011,1557310.0314442718,1557310.0107436285,1557310.0230344427,1557310.0402759167,1557310.0698049353,1557310.0959298564,1557309.920446486,1557310.0860405443
11,2743727.8370618355,1613033.203312536,1613033.1669344106,1613033.1831364303,1613033.1978551184,1613033.2313096542,1613033.184614526,1613033.2018143348,1613033.1987540848,1613033.1927832072
