,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9
0,3941300.85200165,3218372.5056448895,3218378.262250348,3218379.528437224,3218377.595006323,3218378.044777407,3218375.7310763663,3218379.2903421405,3218379.306956582,3218380.2747570924
1,3857126.345611168,2413745.712433705,2413748.6038850015,2413748.7026535943,2413747.3057736554,2413747.7864163304,2413746.7745388546,2413748.7260849043,2413750.238797269,2413746.2688333574
2,3768723.2570999046,1607506.9761367305,1607508.05945241,1607507.0183827742,1607506.3433958387,1607506.8696221774,1607507.3919608085,1607507.2518976561,1607510.395997478,1607504.1766248744
3,3675878.2505550054,1258920.3989634572,1258920.4542563253,1258920.4545058091,1258920.4480333773,1258920.4400849317,1258920.4181095732,1258920.455458937,1258920.404746086,1258920.4987385825
4,3578366.9114804263,1280872.9783712127,1280872.9664625928,1280872.9850323682,1280872.9642840913,1280872.9874496197,1280872.978602392,1280872.9821740212,1280872.9647773905,1280872.9726357441
5,3475953.559029743,1314881.678637327,1314881.6805938438,1314881.6623206513,1314881.6973474135,1314881.682488244,1314881.7397947004,1314881.6938208411,1314881.7178583094,1314881.7351183728
6,3368390.295025443,1356010.9587167,1356010.952634341,1356010.9709767608,1356010.9487625365,1356010.9580591496,1356010.9542399468,1356010.9622881804,1356010.9795255936,1356010.982426643
7,3255416.6763732866,1401982.6687671472,1401982.5976893627,1401982.5919829097,1401982.5216685757,1401982.5402125844,1401982.598269246,1401982.4878249455,1401982.5641542173,1401982.5976140988
8,3136758.8972973325,1451350.9622200723,1451351.106771994,1451351.015255776,1451351.078672953,1451351.0871942767,1451351.091166672,1451351.008874567,1451350.9897193108,1451350.9152129116
9,3012129.1533619673,1503342.3825991699,1503342.371614176,1503342.3484123729,1503342.265542694,1503342.297273026,1503342.2267826772,1503342.215104725,1503342.2771576887,1503342.3227284697
10,2881224.840625608,1557310.11491065,1557310.142365038,1557310.1318433573,1557310.1692242003,1557309.9529244006,1557310.0312032981,1557310.0605745956,1557309.9711959804,1557309.9962773097
11,2743727.878160352,1613033.1838901495,1613033.1954482151,1613033.1758992453,1613033.1511478191,1613033.2046752179,1613033.2040142973,1613033.195736249,1613033.1675435724,1613033.2005677111
12,2599303.8549189027,1670064.9688559393,1670064.9659687597,1670064.9417901302,1670064.9552047097,1670064.9724626862,1670064.9733556083,1670064.9434452902,1670064.9790554615,1670064.953877797
13,2447601.118340913,1728194.3146286695,1728194.325237456,1728194.322554334,1728194.3201453306,1728194.319585701,1728194.311668488,1728194.3274522047,1728194.3077971607,1728194.3179074943
14,2288249.827548491,1787431.7320341598,1787431.7444941157,1787431.7426729044,1787431.7401671635,1787431.7366060086,1787431.7269404423,1787431.748428176,1787431.7232719238,1787431.7375480481
15,2120861.2320870617,1847535.9571840866,1847535.9807980985,1847535.9775017377,1847535.9938758546,1847535.9196465067,1847535.885694623,1847536.011710295,1847535.952721631,1847536.0118951383
16,1945026.1699982067,1908267.044641965,1908267.0340925648,1908267.0208863914,1908267.0388196784,1908267.064627324,1908267.083449531,1908267.015354918,1908267.033484934,1908266.9799481789
17,1760314.4390214195,1969809.3134672407,1969809.3034283805,1969809.2911799112,1969809.307215904,1969809.3338267165,1969809.3518997522,1969809.2839653227,1969809.302458187,1969809.2499151903
18,1566273.3379069853,2031915.2175616098,2031915.235801587,2031915.254355484,2031915.2098121506,2031915.2385678268,2031915.2152853212,2031915.1911567717,2031915.2289787445,2031915.2231135718
19,1362426.7779662968,2094616.6577329286,2094616.6754620539,2094616.6937192136,2094616.6501363565,2094616.6780335389,2094616.6555751576,2094616.6327684983,2094616.6681735585,2094616.6636632509
20,1256287.6426825842,2157779.641245971,2157779.637567717,2157779.6367885545,2157779.6419306616,2157779.639588854,2157779.657611154,2157779.6613441114,2157779.6154756737,2157779.6470751446
21,1257615.5997949902,2221575.335086042,2221575.3315330828,2221575.3307855283,2221575.3356063864,2221575.3334611044,2221575.350893849,2221575.354357537,2221575.310058625,2221575.3404652686
22,1261264.863073911,2285599.7268224577,2285599.723262584,2285599.722490651,2285599.727178422,2285599.725157118,2285599.7420816356,2285599.745377987,2285599.702445737,2285599.731748113
23,1266948.4809440125,2350309.3063778463,2350309.303016404,2350309.3031518743,2350309.304357162,2350309.307624824,2350309.307819869,2350309.303271106,2350309.3084972324,2350309.3013303126
24,1274681.1285266753,2415367.3223497625,2415367.3189872145,2415367.3190253214,2415367.320255227,2415367.323402682,2415367.323607356,2415367.3192319376,2415367.3242672016,2415367.3171963263
25,1284203.7842953573,2480659.38101479,2480659.377658159,2480659.3775920435,2480659.3788488996,2480659.3818691443,2480659.3820957397,2480659.3779130816,2480659.3827161724,2480659.3757660203
26,1295599.6674128757,2546475.957304608,2546475.9553504963,2546475.9549275814,2546475.955684972,2546475.9569916613,2546475.9572674436,2546475.955422454,2546475.9574128496,2546475.9536992484
27,1308711.8792574464,2612739.515095872,2612739.5131229945,2612739.5125937494,2612739.513388841,2612739.514581863,2612739.514850502,2612739.5131753907,2612739.5150155313,2612739.5113539565
28,1323683.858932134,2679242.452809562,2679242.450820842,2679242.450181036,2679242.451009966,2679242.4520893027,2679242.4523543227,2679242.4508504393,2679242.4525302453,2679242.4489270602
29,1340479.96342956,2745985.900956541,2745985.89895221,2745985.898188041,2745985.8990656007,2745985.9000193872,2745985.9002669123,2745985.898953695,2745985.9004932796,2745985.896929832
30,1359082.3403124718,2813141.274501841,2813141.2731765215,2813141.2721449276,2813141.272856037,2813141.272804952,2813141.2728672544,2813141.273021061,2813141.273163486,2813141.2712335833
31,1379535.5617604433,2880795.9327296866,2880795.9313933398,2880795.930229877,2880795.9309681924,2880795.930802957,2880795.9308644417,2880795.9311998836,2880795.9311668663,2880795.929296823
32,1401887.162930875,2948696.51168846,2948696.5103506176,2948696.509042225,2948696.509804614,2948696.5095214457,2948696.5095812245,2948696.510109977,2948696.5098925037,2948696.508086466
33,1426187.2512401459,3016844.388215745,3016844.3868887755,3016844.3854186097,3016844.38620284,3016844.385796708,3016844.3858536333,3016844.3865904794,3016844.3861796563,3016844.384441825
34,1452488.0902866556,3085241.002411465,3085241.0011100536,3085240.9994588625,3085241.0002614865,3085240.999726989,3085240.9997800835,3085241.0007416047,3085241.000127397,3085240.998462906
35,1480845.801366906,3153887.8617066504,3153887.8604080183,3153887.8585954434,3153887.8593720193,3153887.858723237,3153887.85877298,3153887.859944885,3153887.8591029597,3153887.857535185
36,1511355.5829175864,3223009.962309592,3223009.96135653,3223009.959295272,3223009.9599259067,3223009.9587030145,3223009.9587385166,3223009.9607729656,3223009.958936367,3223009.9584165467
37,1544210.6007664062,3292511.465492468,3292511.464623823,3292511.4623100823,3292511.4629368205,3292511.461571932,3292511.46160523,3292511.46391917,3292511.461840031,3292511.4614136755
38,1579353.8533587737,3362268.867947959,3362268.86718979,3362268.8645969857,3362268.865204327,3362268.8636931223,3362268.8637256436,3362268.866340721,3362268.8639983153,3362268.8636771915
39,1616853.7264895656,3432283.8984530056,3432283.897836198,3432283.8949332535,3432283.8955050395,3432283.8938422194,3432283.893876211,3432283.8968174183,3432283.8941890346,3432283.8939860044
40,1656838.375149789,3502558.3464680137,3502558.3460283205,3502558.3427807274,3502558.3432984636,3502558.341478518,3502558.3415169544,3502558.344811757,3502558.3418719117,3502558.3418006413
41,1699639.7731867977,3573094.0625895807,3573094.062367318,3573094.0587374787,3573094.059179846,3573094.057197422,3573094.0572443577,3573094.0609220252,3573094.05764208,3573094.0577171613
42,1745079.4233801665,3643892.958977348,3643892.9590164092,3643892.9549635127,3643892.955306864,3643892.9531567944,3643892.953218448,3643892.9573092656,3643892.953657265,3643892.9538951665
43,1793370.4951321632,3714957.010222053,3714957.0105651957,3714957.006042854,3714957.0062654517,3714957.003944002,3714957.004035705,3714957.0085657104,3714957.004505031,3714957.0049334555
44,1844845.9377162764,3786288.2488761856,3786288.249682524,3786288.244613677,3786288.244676304,3786288.2421950856,3786288.24227089,3786288.2473094105,3786288.242800428,3786288.2433718033
45,1899284.4915777878,3858098.030636738,3858098.031911794,3858098.0262283455,3858098.0261278977,3858098.0232086265,3858098.023422929,3858098.02925318,3858098.0238789744,3858098.0252351346
46,1957300.2074458841,3930230.266847362,3930230.268558165,3930230.26224772,3930230.261956636,3930230.2588534066,3930230.2591652847,3930230.265512091,3930230.2596028536,3930230.2612365927
47,2018623.410697626,4002635.5932730683,4002635.595480349,4002635.588487166,4002635.587968361,4002635.5846765265,4002635.585107288,4002635.5919996467,4002635.585506411,4002635.5874450393
48,2081274.2173866667,4075316.196409221,4075316.199183822,4075316.1914485437,4075316.190660004,4075316.1871749302,4075316.1877452745,4075316.19521361,4075316.188084196,4075316.190352906
49,2144250.37120265,4148274.311000497,4148274.314420639,4148274.305880401,4148274.304776452,4148274.301093003,4148274.301825105,4148274.30989978,4148274.3020789316,4148274.304703144
50,2207994.4650225667,4221512.218468033,4221512.222617036,4221512.21320559,4221512.211737959,4221512.2078499915,4221512.208769144,4221512.217479294,4221512.208908791,4221512.21191612
51,2271967.024131316,4295032.244757148,4295032.249736296,4295032.239388859,4295032.237494797,4295032.233393731,4295032.234516291,4295032.243896927,4295032.234518183,4295032.237925593
52,2336504.881597821,4368836.760282108,4368836.766174081,4368836.754816458,4368836.752449819,4368836.748126247,4368836.749491795,4368836.759564695,4368836.749312991,4368836.753161748
53,2401510.1222756235,4442928.176420052,4442928.183311727,4442928.170866372,4442928.16797964,4442928.163422191,4442928.1650733305,4442928.17585919,4442928.164666787,4442928.169001161
54,2466749.209508434,4517308.944357004,4517308.952338499,4517308.93872469,4517308.935269616,4517308.930464791,4517308.9324471215,4517308.943965634,4517308.931761813,4517308.936629439
55,2532409.227673527,4591981.5533436285,4591981.562507504,4591981.54764154,4591981.543569725,4591981.538501862,4591981.540863627,4591981.553133793,4591981.539844878,4591981.545296797
56,2598618.946864154,4666948.528976469,4666948.539417044,4666948.523212504,4666948.51847597,4666948.513127324,4666948.515918737,4666948.52895934,4666948.514508695,4666948.520599197
57,2665067.812182584,4742212.431524453,4742212.443337155,4742212.425705174,4742212.420256964,4742212.414607851,4742212.41788026,4742212.431710411,4742212.416018477,4742212.422804767
58,2731756.941202671,4817775.854519579,4817775.86779974,4817775.848649758,4817775.842444255,4817775.836473239,4817775.840278516,4817775.854917843,4817775.837902613,4817775.845445127
59,2798770.887373543,4893641.422861099,4893641.437691586,4893641.416937899,4893641.409929608,4893641.403611802,4893641.408008035,4893641.423472029,4893641.405051744,4893641.413422253
60,2866370.4237520774,4969811.791224724,4969811.807639783,4969811.785215917,4969811.777358617,4969811.770660654,4969811.775730727,4969811.792016651,4969811.77211467,4969811.781421458
61,2934215.600910898,5046289.643028192,5046289.660970303,5046289.636844866,5046289.628091124,5046289.620965656,5046289.6268394785,5046289.643909183,5046289.622459689,5046289.632878363
62,3002307.7842308315,5123077.68945382,5123077.708743366,5123077.682930837,5123077.673231689,5123077.66561403,5123077.672483854,5123077.690251413,5123077.667203829,5123077.678999452
63,3070648.401777954,5200178.668547039,5200178.688882423,5200178.661442417,5200178.650747647,5200178.642556888,5200178.65067642,5200178.669007771,5200178.644327532,5200178.657854845
64,3139238.948426201,5277691.494636109,5277691.516971507,5277691.487394507,5277691.4757964,5277691.466983973,5277691.475963715,5277691.495424453,5277691.468622468,5277691.483457854
65,3208235.0694979955,5355542.130008476,5355542.153709082,5355542.122207554,5355542.109625076,5355542.100207147,5355542.110435723,5355542.130600769,5355542.101910439,5355542.1184568135
66,3277679.522083541,5433710.211840351,5433710.237039714,5433710.203499521,5433710.1899115015,5433710.179873678,5433710.191358825,5433710.212276347,5433710.18160193,5433710.19988764
67,3347379.530092764,5512198.377578112,5512198.404399694,5512198.368709452,5512198.354097477,5512198.343425285,5512198.356179064,5512198.377892206,5512198.3451390825,5512198.365198265
68,3417336.811136955,5591009.273775398,5591009.302333234,5591009.264384047,5591009.248732126,5591009.237411155,5591009.251451021,5591009.273996836,5591009.239071576,5591009.260944478
69,3487553.143390926,5670145.554086415,5670145.58448573,5670145.544170929,5670145.527465147,5670145.515481119,5670145.5308310175,5670145.554239422,5670145.517049761,5670145.5407832
70,3558030.366055042,5749609.877081131,5749609.909418875,5749609.866633756,5749609.848861954,5749609.836200784,5749609.8528920915,5749609.877184892,5749609.837639769,5749609.863287489
71,3628770.3797774785,5829404.903812792,5829404.938178013,5829404.892819706,5829404.873971189,5829404.860618932,5829404.878691154,5829404.903881222,5829404.861890859,5829404.889513761
72,3699775.1475515,5909533.295051188,5909533.331525218,5909533.283492682,5909533.263557939,5909533.249500674,5909533.26900171,5909533.295092493,5909533.2505685445,5909533.280234707
73,3771046.6914019156,5989997.70807461,5989997.746731037,5989997.695925169,5989997.6748956395,5989997.660119237,5989997.6811052095,5989997.708090615,5989997.660946318,5989997.692730901
74,3842747.3401438436,6070800.792886668,6070800.833791305,6070800.7801150475,6070800.757982886,6070800.742472587,6070800.76500744,6070800.792872056,6070800.74302237,6070800.77700744
75,3914819.2613076344,6151945.187693527,6151945.230904515,6151945.174262684,6151945.151020601,6151945.134760379,6151945.158915548,6151945.187634945,6151945.134996655,6151945.171271014
76,3987163.845683119,6233433.513436057,6233433.559004072,6233433.499302877,6233433.474943982,6233433.457915768,6233433.483770041,6233433.513311088,6233433.457802875,6233433.4964618515
77,4059783.2705888236,6315268.367119797,6315268.415088028,6315268.352234374,6315268.326752107,6315268.308935007,6315268.336574571,6315268.36689562,6315268.308438119,6315268.349583468
78,4132679.761843374,6397452.313626286,6397452.3640300175,6397452.297930632,6397452.27131885,6397452.25268838,6397452.282207017,6397452.313257929,6397452.251773831,6397452.295513799
79,4205855.5922087915,6479987.875598441,6479987.92846431,6479987.859024504,6479987.8312781,6479987.811805356,6479987.843304898,6479987.875026743,6479987.81044092,6479987.856890581
80,4279313.079235584,6562877.520895413,6562877.5762405265,6562877.5033624945,6562877.474478728,6562877.454129437,6562877.48772056,6562877.520044911,6562877.45228462,6562877.501566468
81,4353054.585258136,6646123.64697913,6646123.704809432,6646123.62839098,6646123.5983710205,6646123.577104837,6646123.612908102,6646123.645755929,6646123.574751131,6646123.626996003
82,4427082.513866045,6729728.561379806,6729728.621686736,6729728.541621582,6729728.510471643,6729728.488242258,6729728.52638924,6729728.559669437,6729728.485353301,6729728.540701454
83,4501399.3087560795,6813694.457204468,6813694.519959967,6813694.436139851,6813694.403871799,6813694.380627797,6813694.421262136,6813694.45487,6813694.377179548,6813694.435781861
84,4576007.451987396,6898023.382271924,6898023.447423434,6898023.359741207,6898023.326373081,6898023.302058671,6898023.345336824,6898023.379153185,6898023.29803015,6898023.360049361
85,4650909.462259046,6982717.199932963,6982717.2673998,6982717.175752719,6982717.1413093675,6982717.115864464,6982717.161956045,6982717.195847681,6982717.111239473,6982717.176851338
86,4726107.893229609,7067777.539243159,7067777.608913988,7067777.513207197,7067777.4777210085,7067777.451080811,7067777.500168693,7067777.533989422,7067777.445850238,7067777.515244269
87,4801605.332050014,7153205.724948922,7153205.796667691,7153205.696820396,7153205.660331386,7153205.632423753,7153205.68471321,7153205.718297524,7153205.626589613,7153205.699981206
88,4877404.397624196,7239020.290628789,7239020.363855625,7239020.25971085,7239020.22227017,7239020.192909167,7239020.249062483,7239020.281868981,7239020.186487866,7239020.264661779
89,4953507.738823303,7325224.175609992,7325224.250432691,7325224.141769224,7325224.1034504995,7325224.072605529,7325224.132722707,7325224.164628553,7325224.065492207,7325224.1485215165
90,5029918.033435844,7411819.728622519,7411819.8052517865,7411819.691806707,7411819.652687657,7411819.620360335,7411819.684461971,7411819.715383091,7411819.612403309,7411819.7002705075
91,5106637.987191505,7498809.079953094,7498809.15873402,7498809.040205499,7498809.000361079,7498808.966592499,7498809.034605321,7498809.064504742,7498808.957590943,7498809.05017915
92,5183670.332869763,7586194.068533927,7586194.149937714,7586194.025994965,7586193.985491004,7586193.950365229,7586194.022117821,7586194.051007495,7586193.94007278,7586194.037169855
93,5261098.551113162,7673976.142211382,7673976.226796342,7673976.097099965,7673976.055989491,7673976.019631822,7673976.094866104,7673976.122798427,7673976.007767382,7673976.109088805
94,5338880.485057338,7762156.218703608,7762156.307042102,7762156.171275517,7762156.129598793,7762156.092166026,7762156.170568516,7762156.197617861,7762156.078434718,7762156.183666161
95,5416979.354629873,7850734.491720099,7850734.58430209,7850734.442210249,7850734.399998033,7850734.3616578495,7850734.4429095285,7850734.469149171,7850734.345784193,7850734.454636125
96,5495397.795386183,7939710.152932802,7939710.250074964,7939710.101503464,7939710.058781603,7939710.019684689,7939710.103513418,7939710.129000827,7939710.001452739,7939710.113706943
97,5574138.452393902,8029080.981046584,8029081.082854222,8029080.927778673,8029080.884570548,8029080.844824997,8029080.931032099,8029080.95582047,8029080.824115626,8029080.939633777
98,5653203.978264646,8118842.732421971,8118842.838843453,8118842.677382005,8118842.633702388,8118842.5933550075,8118842.681796223,8118842.705985507,8118842.570180915,8118842.688852397
99,5732597.031021241,8208988.212297387,8208988.323208209,8208988.15563556,8208988.1114754565,8208988.070486378,8208988.1610377785,8208988.18485094,8208988.045048087,8208988.166713153
100,5812320.271734164,8299505.83015315,8299505.945311609,8299505.772151611,8299505.727463992,8299505.685649107,8299505.778242033,8299505.802080221,8299505.658456035,8299505.7828732515
101,5892376.361844655,8390377.39021839,8390377.509221753,8390377.33142148,8390377.286051879,8390377.243004294,8390377.33764766,8390377.362176014,8390377.215059338,8390377.341809025
102,5972767.960072345,8481634.188458012,8481634.31251292,8481634.12663152,8481634.08108623,8481634.038571468,8481634.134970304,8481634.157677831,8481634.005857894,8481634.136538912
103,6053497.718780265,8573319.053046227,8573319.181978554,8573318.98842034,8573318.942586286,8573318.900576241,8573318.998644736,8573319.019756118,8573318.863367867,8573318.99778201
104,6134568.279639713,8665420.06825749,8665420.2016882,8665420.001114773,8665419.954949409,8665419.913194738,8665420.0130584,8665420.032963369,8665419.872252522,8665420.010166377
105,6215982.268400166,8757917.490118492,8757917.62758551,8757917.420975821,8757917.374457069,8757917.33234386,8757917.434129225,8757917.453664385,8757917.28897068,8757917.429951223
106,6297742.288518511,8850779.903602984,8850780.044368511,8850779.833269402,8850779.78639114,8850779.742760684,8850779.84665984,8850779.867303936,8850779.699119167,8850779.842531322
107,6379850.913346482,8943957.83646459,8943957.97927212,8943957.766383871,8943957.719017759,8943957.67194801,8943957.778591484,8943957.802569352,8943957.63184915,8943957.777031714
108,6462310.676491334,9037503.962652318,9037504.110787448,9037503.889202,9037503.841851145,9037503.795963584,9037503.903654948,9037503.9256016,9037503.750075588,9037503.899107872
109,6545124.059866167,9131479.725782232,9131479.878555406,9131479.649577575,9131479.602165077,9131479.556610228,9131479.66569576,9131479.686588751,9131479.506667145,9131479.659112267
110,6628293.4788307445,9225848.313228484,9225848.46964409,9225848.235373642,9225848.187835485,9225848.14115269,9225848.252275521,9225848.273768244,9225848.090000633,9225848.244865412
111,6711821.263616776,9320550.271313218,9320550.430553189,9320550.193572313,9320550.14641283,9320550.095933465,9320550.20974882,9320550.235274266,9320550.048028748,9320550.202669112
112,6795709.636044948,9415509.371429814,9415509.535563879,9415509.290088031,9415509.242394047,9415509.193867465,9415509.309046717,9415509.331290085,9415509.139326934,9415509.298814375
113,6879960.680232179,9510917.627376659,9510917.795956591,9510917.543278886,9510917.49508504,9510917.447230276,9510917.564121932,9510917.584615089,9510917.388055181,9510917.551521119
114,6964576.305440942,9606729.8793671,9606730.050610516,9606729.793047832,9606729.744878175,9606729.695458082,9606729.815078672,9606729.836024737,9606729.635676092,9606729.801321015
115,7049558.198858924,9702871.86985941,9702872.038922388,9702871.780907732,9702871.733631203,9702871.678728508,9702871.803910023,9702871.828073379,9702871.625094008,9702871.791536888
116,7134907.7650670605,9799225.134475818,9799225.293012735,9799225.041739833,9799224.997302225,9799224.930582719,9799225.066127047,9799225.097829912,9799224.894026602,9799225.058854818
117,7220638.536915299,9896044.535976164,9896044.700092731,9896044.441145137,9896044.395672066,9896044.330262981,9896044.466985207,9896044.496131498,9896044.28804816,9896044.456437867
118,7306758.185561669,9993262.60336261,9993262.77213788,9993262.508840214,9993262.462551827,9993262.395379556,9993262.533581873,9993262.564196697,9993262.35240717,9993262.520505859
119,7393269.101262957,10090783.292009078,10090783.466099778,10090783.203847367,10090783.156099632,10090783.082485268,10090783.221178329,10090783.260069108,10090783.045786006,10090783.20538363
120,7480173.469311079,10188536.066285498,10188536.245033078,10188535.973486066,10188535.925771654,10188535.854415586,10188535.994304132,10188536.029568,10188535.810992496,10188535.975597132
121,7567473.201694141,10286741.946480593,10286742.12926287,10286741.85061939,10286741.803742008,10286741.732218519,10286741.873604653,10286741.908278478,10286741.686192943,10286741.852313848
122,7655169.844251891,10385322.605174948,10385322.790434323,10385322.507625807,10385322.464592153,10385322.388313746,10385322.531738468,10385322.5718028,10385322.347694779,10385322.50957462
123,7743264.447420052,10484150.65885327,10484150.84364652,10484150.560305258,10484150.52790887,10484150.439117925,10484150.585077437,10484150.6406251,10484150.41807799,10484150.565192187
124,7831757.386181638,10583276.807889398,10583276.997963257,10583276.705919283,10583276.672634764,10583276.585785069,10583276.733344039,10583276.785789795,10583276.557592962,10583276.710509187
125,7920648.104089229,10682836.487841342,10682836.68210442,10682836.384362774,10682836.351648828,10682836.263644032,10682836.414357295,10682836.467150927,10682836.232739266,10682836.387518412
126,8009934.736209725,10782722.722386379,10782722.919422513,10782722.621222196,10782722.59072752,10782722.49679539,10782722.653766148,10782722.712251745,10782722.468209077,10782722.62016015
127,8099613.550502635,10882763.440841414,10882763.635524971,10882763.344188916,10882763.322653811,10882763.214244151,10882763.380043311,10882763.455282968,10882763.19774892,10882763.337683683
128,8189678.103078739,10983237.01978333,10983237.21887963,10983236.91953123,10983236.897590429,10983236.791176548,10983236.956960538,10983237.029354634,10983236.770200886,10983236.912564298
129,8280117.925344838,11084102.871388739,11084103.071292171,11084102.767500242,11084102.74974394,11084102.641587704,11084102.805190558,11084102.878743384,11084102.626136895,11084102.758071633
130,8370916.501737141,11185213.58241289,11185213.777456416,11185213.474710528,11185213.46889486,11185213.352497293,11185213.51108593,11185213.592653882,11185213.355686951,11185213.46116818
131,8462080.516368775,11286535.941404313,11286536.141265495,11286535.829101268,11286535.822892841,11286535.708791386,11286535.869572274,11286535.946657743,11286535.703579973,11286535.81626019
132,8553674.504997771,11388307.395887053,11388307.59559687,11388307.274788234,11388307.277080692,11388307.159624774,11388307.324571671,11388307.40308912,11388307.150602786,11388307.265871488
133,8645687.913914835,11490400.036728151,11490400.227631908,11490399.897829998,11490399.925531192,11490399.79496635,11490399.967474068,11490400.057324557,11490399.788573993,11490399.900270298
134,8738102.96244036,11592607.584649447,11592607.756074881,11592607.418532392,11592607.493157692,11592607.336823257,11592607.51666407,11592607.631431786,11592607.342042068,11592607.44119639
