,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30,Trial31,Trial32,Trial33,Trial34,Trial35,Trial36,Trial37,Trial38,Trial39,Trial40,Trial41,Trial42,Trial43,Trial44,Trial45,Trial46,Trial47,Trial48,Trial49,Trial50,Trial51,Trial52,Trial53,Trial54,Trial55,Trial56,Trial57,Trial58,Trial59,Trial60,Trial61,Trial62,Trial63,Trial64,Trial65,Trial66,Trial67,Trial68,Trial69,Trial70,Trial71,Trial72,Trial73,Trial74,Trial75,Trial76,Trial77,Trial78,Trial79,Trial80,Trial81,Trial82,Trial83,Trial84,Trial85,Trial86,Trial87,Trial88,Trial89,Trial90,Trial91,Trial92,Trial93,Trial94,Trial95,Trial96,Trial97,Trial98,Trial99
0,3941547.039334742,3212833.708797566,3214658.7249330035,3625637.6389019904,3210194.7131866068,3628623.2821244453,3215670.2786002485,3220774.834250282,3225557.2506406573,3624227.8282594103,3627777.862746335,3225861.6274243873,3219077.3305174327,3208349.076878592,3218768.9034271133,3206188.4305784157,3823433.7591342046,3219139.543131365,3216613.567095397,3218014.4023104254,3219968.7741192826,3221791.097552322,3218289.9591427143,3622150.447137407,3623068.4497274207,3222871.1651825556,3220364.2959661027,3216638.24110924,3209808.8046302656,3215860.719438359,3220467.1549563827,3220167.3530369713,3622225.4469804694,3626494.02802332,3823248.496975433,3823175.633082452,3208433.3632062995,3209708.6360811302,3220835.5818900643,3825643.3913052445,3822754.5482891956,3208391.789582051,3212670.028829013,3214928.782330984,3214667.6607115795,3216384.5779691096,3217051.2311844244,3208110.1085148817,3217348.583200698,3234247.1456802455,3218009.300829958,3217035.841203037,3210191.8681630394,3215625.9480940946,3227181.2551664948,3204640.345860837,3623700.509804583,3220662.677671044,3215958.059523144,3212471.5833578194,3216874.5517583415,3628316.7791730384,3220206.440610664,3625075.7688585618,3625969.7633320168,3211660.1293474287,3823074.5971439276,3215258.2448824192,3221993.478202858,3216447.457965711,3213748.1995152086,3621632.606344932,3217057.3574513076,3221793.9795312746,3204583.968211267,3621685.973110697,3217876.798420825,3620656.824405154,3212055.782831561,3215573.9733997635,3621411.715365371,3618510.332603368,3622002.965223983,3207409.9371765554,3221039.7525575287,3217682.786193254,3207225.7806698238,3218152.466195625,3629016.6748315264,3215724.0467525464,3215203.4680015366,3214496.974246256,3210460.965372092,3616732.7210296327,3217727.10632019,3206525.9997099196,3208822.074366238,3620333.018327604,3208990.6343068345,3222583.1794636063
1,3857630.74640971,2402608.4240367287,2406287.194150295,3417659.4064385328,2397502.524879677,3422194.33853776,2408274.246452376,2418482.333624343,2427993.712719953,3206688.2246481427,3420954.9512563236,2827616.230890988,2415151.7792876186,2393788.3792702416,2414590.0544113857,2389349.1321349572,3615360.456061779,2415210.951350328,2410104.985198355,2413014.4458776913,2416861.5172371073,2420555.371688069,2413550.72091008,3202375.9855652372,3204306.228837333,2422676.013422915,2417667.857595819,2410344.3513539582,2396576.1054602647,2408641.522591291,2417947.2844772944,2417312.874699721,3412517.60847027,3211398.120680377,3614980.8183871224,3614832.6751113427,2393801.371520441,2396377.3077666964,2418517.0013357787,3619871.393712303,3613966.251392005,2393869.8415342034,2402334.4475203236,2406779.8524148976,2406386.3246725374,2409705.9632732947,2411094.693139283,2393130.3993147793,2411672.5597808957,2840241.025370215,2413032.039845661,2411041.30051351,2397295.081943198,2408036.7359384205,2431312.765120746,2386360.4400058025,3205589.648584155,2819940.0227860706,2408908.1627945914,2401914.701031829,2410712.9770212905,3215074.0320704337,2417303.6213192698,3208114.1012998507,3210240.261654458,2400231.042884218,3614587.9748988873,2407440.612745363,2420964.5828802967,2409943.845967557,2404519.137059603,3201230.869151978,2410946.649056771,2420522.394462085,2386168.9451748384,3201481.406146883,2412769.6210630527,3199357.7140557435,2401128.3997617722,2408283.77393875,3200914.210850508,3194952.3886305266,3202098.066915883,2391905.4127323134,2419034.067195573,2412351.725909851,2391450.155601834,2413441.294357227,3422815.83105757,2408433.233501391,2407505.238611266,2406002.1034277305,2397957.400234782,3191308.9407055164,2412411.8555478943,2390030.8530724337,2394716.5012934413,3198686.1936376407,2395076.9184771175,2422074.14333292
2,3769498.635285774,1590826.6611534145,1596296.004526466,3199091.20774021,1583151.3517918382,3205232.5038788705,1599340.7697721832,1614647.338700449,1628880.4856365465,2767763.6357456613,3203605.4806020516,2408979.4865887575,1609718.9918835491,1577626.452341086,1608832.1237302357,1570872.381106128,3396717.3465633793,1609707.3270647388,1602077.016477899,1606416.4597322824,1612201.6068852474,1617750.9132225176,1607240.755523023,2760919.7705467422,2764089.7498004283,1620931.89638355,1613462.056480594,1602499.3593067892,1581793.493932855,1599810.022250115,1613839.5331366998,1612949.2584669325,3192151.8501841314,2775004.443205456,3396128.7502187416,3395915.357177529,1577622.5055128052,1581482.3926646442,1614614.6344012918,3403620.9940489014,3394565.459556946,1577707.1788884364,1590390.75861538,1597088.4773735043,1596523.7309522575,1601469.4970104261,1603494.4541200341,1576568.8853137603,1604447.9907024452,2426055.4511553734,1606472.6103119783,1603517.1908378212,1582842.1525610017,1598895.688057165,1633943.5779455337,1566459.5797771937,2766049.8637622097,2398724.182455482,1600260.1483097551,1589767.855979837,1602957.0312570115,2780656.8668340626,1612877.67878719,2989057.9481952726,2773199.916622493,1587233.5798552807,3395493.642773791,1598007.0341932005,1618368.548451796,1601882.5510282079,1593712.2653431555,2759418.6535922936,1603269.342941304,1617717.3084983584,1566201.7506418943,2759772.542131083,1606073.3368105025,2756479.600611428,1588650.516276305,1599323.90532976,2758879.557455159,2749700.0292247683,2760662.1306136255,1574763.5937311489,1615434.2980137437,1605485.375808266,1574149.2452508982,1607051.577838173,3206097.039699547,1599616.6123367613,1598156.1127352207,1595939.3982885145,1583914.919893443,2744099.2200935674,1605578.773542478,1571910.994264489,1578993.233442475,2755438.8217406226,1579522.8493052204,1620038.4131653851
3,3676937.7744473764,1240702.0474069575,1245801.1941077183,2969390.2704265895,1231456.1897937418,2977194.5295907576,1250149.9176392865,1267226.7934500317,1282651.1798392856,2306327.2595119397,2975185.6376431566,1968878.4482733463,1263978.737778395,1226858.3139583862,1262306.2870924757,1215753.6809742653,3167014.793948383,1260960.203241161,1252286.1823621492,1258682.6070836834,1263945.368416007,1271735.0482432744,1259642.9561600902,2296953.2147842622,2301281.081241163,1275151.4701946853,1267342.5042076784,1255137.3392853558,1230596.1139471373,1249913.7229197507,1266771.574290414,1267918.1841778865,2960578.433255483,2316206.925008491,3166158.130094863,3165877.7397343786,1225058.9376132344,1229832.630018582,1265754.9620746174,3176344.746435159,3164005.8711421816,1225553.8164423387,1239912.0239002425,1247542.3692415343,1247401.1655578471,1251634.6657005746,1253179.5003806986,1222075.6877988281,1256477.8032831906,1990650.1127125937,1259068.4912325577,1255940.8054909764,1230013.8133309789,1248090.3885251975,1290907.0220196166,1213041.800111778,2303965.7275113203,1955939.0908148559,1250681.0714933376,1238863.1651095927,1254205.4474468608,2323948.3704183917,1264769.6650587295,2758838.11962449,2313733.1702574454,1234763.0953730326,3165238.8731850684,1247925.9055762314,1272409.2386812412,1254264.184157859,1243559.2398668441,2294857.4494337155,1252449.7134885641,1271382.605288268,1212358.6395151298,2295436.8719793484,1258292.1819555797,2290895.990239871,1238522.4489945765,1250867.0186322294,2294178.735595696,2281614.358319057,2296573.2761250185,1222240.388564162,1267705.4647725623,1258631.2890204496,1222540.530058468,1259046.354947537,2978313.6917747455,1252230.3959981326,1249678.3359525865,1246213.4604045546,1233881.1588775166,2273961.3590330724,1258755.9706968162,1218566.3379012477,1228042.546456662,2289467.4668145212,1228073.5202241323,1274017.3793374405
4,3579724.586441835,1263704.9151292236,1267285.7960654018,2727974.0073710443,1253127.1519415723,2737501.128308782,1272378.8634290365,1276344.8400126959,1304194.1914867542,1821208.0486381147,2735117.9788214527,1506193.6178638611,1288860.6471259764,1250541.0298898697,1287095.4307690589,1235628.1124962927,2925628.5029438413,1269698.0668017855,1273244.19803673,1268544.6639156484,1272698.9158143692,1281639.1742418122,1283068.0005515555,1809129.4109043255,1814706.0822334997,1298645.6830577801,1291397.3975742236,1279098.4162039354,1240144.7334280137,1271955.825353842,1276138.039293497,1278899.470502954,2717224.0180796282,1833796.471011726,2924546.4470090913,2924163.2634808198,1234001.0116480584,1239009.2893156048,1286548.8642802674,2937478.096944758,2921719.870982731,1247581.0131608394,1262652.3237812708,1269903.2285336147,1270323.1869100714,1272849.3885896036,1273554.203696886,1241229.3911805516,1266081.2707037474,1532914.6651838636,1269043.6159412826,1279797.366543594,1250045.5697768636,1268159.4029579675,1301396.2929602747,1235169.8799148912,1818151.2663782903,1490460.8937759672,1259490.7748992392,1247755.7467101126,1277239.2979692277,1843783.0896823304,1273759.5002584432,2516879.9799098764,1830662.7836002943,1255339.912382218,2923256.7516142544,1269708.5670511627,1296055.1033946725,1278407.330203643,1265571.6704491011,1806440.0101932122,1272460.5517954791,1294935.7624421488,1233968.5149770426,1807286.2207696647,1268130.630963633,1801414.2868391841,1261405.0657564406,1274558.8342535184,1805625.355074066,1789499.1046291406,1808623.333669784,1244139.2710531855,1289559.3767722528,1283230.2500370275,1245644.4094633649,1281659.7528872709,2738897.2678731047,1276812.7027557075,1273034.816780863,1268165.4044100544,1257452.126681145,1779694.6560506562,1283449.1542573033,1239535.8974754808,1251406.5062912689,1799570.811080091,1250925.088477725,1297075.4340530662
5,3477623.8600286637,1298210.4953337058,1300872.1436985855,2474234.8647693,1286210.17265295,2485544.7118013916,1306151.3793175595,1290125.433070987,1338167.4173494608,1311149.193843824,2482803.7168364227,1279580.62737639,1324883.651106981,1284946.9119011473,1323397.1605658112,1267519.720099391,2671963.77097276,1283217.2543083183,1306182.9097823529,1283137.0204179455,1286160.0305611466,1296206.0508386153,1318172.9160332715,1296200.2097116655,1303101.0649153236,1334313.8870425199,1326877.2994546122,1314184.2753838203,1254036.5603631064,1305952.5621433335,1290168.6185978553,1294374.2508426446,2461489.3110348396,1326530.0268216773,2670634.5726340995,2670207.0663711443,1247391.631779665,1252526.013441672,1319959.212179981,2686422.5439815847,2667182.2136038262,1281007.818758338,1296943.8613707896,1303924.048763267,1304975.5583482783,1306141.841257616,1306228.8760749907,1272495.2120551583,1280110.3254077707,1310556.5436632975,1283589.8593219179,1315028.5801925324,1281840.287248906,1300081.0555336452,1316689.883685684,1268481.305500093,1307347.2361030919,1264571.9962006528,1272845.1293246625,1261112.3728067668,1312111.5764988468,1338918.4847259629,1287646.2393683915,2262575.6658811984,1322733.5137916757,1288247.7918918831,2668933.5205182545,1303334.0463731168,1331452.2629055863,1313980.0699342382,1299409.5954535513,1292907.187826666,1304876.2146103538,1330391.6179598258,1266719.134760547,1294064.1512061225,1282638.485384381,1286768.7076063475,1295615.8566433145,1309862.2665632556,1291957.2431344942,1272078.148173215,1295558.2565105527,1277145.8405904535,1323736.8022403105,1319193.5941113266,1279586.0647952117,1316369.5808974057,2487246.442403216,1312515.388269641,1307437.1180809243,1301853.229926457,1292236.519084788,1260021.773376292,1319598.5754000552,1271501.2322608258,1285797.2580995862,1284481.327101931,1285105.0578173643,1332104.094829389
6,3370388.578167916,1339834.9380890015,1341596.5328270292,2207555.610551444,1326208.301303396,2220737.276845294,1347081.945631173,1307927.0990813433,1379383.6850360346,1286243.311216157,2217612.6947571645,1286675.1439350706,1367466.2584605112,1326038.5042275714,1366686.3447122758,1306627.5331680623,2405441.838733825,1300762.0086516538,1346169.177154872,1301759.191763046,1303618.0080641275,1314757.213856012,1360191.116271643,1267977.5045319835,1276581.8609553634,1377158.6675609152,1369263.3224605336,1356301.4403263968,1271828.4774607494,1347091.2361797525,1308174.1337583414,1313894.595617586,2192804.939824516,1297912.254849949,2403835.4183772416,2403305.514697897,1264696.1610928478,1270016.6627045856,1360806.6840562453,2422539.7319666734,2399676.0694116103,1321571.357151688,1338353.6432291744,1344890.5367712444,1346599.7637366666,1346723.7802443476,1346226.9066096954,1311068.019914218,1298044.6264261848,1320919.6881400447,1302071.3803147327,1357326.4188663056,1320976.0441160563,1338936.5802265417,1336119.3438432422,1308689.0844434055,1279975.1754889335,1274437.1076007849,1290164.983126973,1278439.6703355664,1354155.435499093,1315117.039622175,1305571.7216007684,1995276.828534561,1296423.1249683201,1328529.2552190754,2401635.5523966914,1344061.4302077328,1373927.2126556367,1356439.0531640777,1340227.0329945395,1265995.5555018028,1344662.4225679974,1373053.1926062265,1306146.202500284,1270346.9976934954,1301121.704065714,1259711.9048188822,1336879.588303537,1351921.2604757778,1265166.1876926846,1244166.8560137684,1267061.323305086,1317113.6224925045,1365368.7210266574,1362239.7054000904,1320376.5749356782,1358357.4497436055,2222715.933920555,1354853.9045260015,1348601.0898684533,1342685.6056488473,1333786.2216683088,1232045.5692774763,1362809.337734533,1310383.4212635942,1327080.3933180647,1257435.2018814164,1326318.7409799844,1374199.9883538515
7,3257758.925661623,1386011.6384386742,1387155.9979398383,1927243.7148458788,1370976.584710595,1942363.5349109413,1392671.6040334487,1329342.3822452459,1425407.0511218146,1301876.3754475147,1938869.1387292845,1302403.5153484463,1414661.5541441124,1371553.6096652688,1414557.2518184488,1350701.1504395385,2125337.5607472216,1322054.417578133,1390932.7297758588,1324060.4363256162,1324686.6870942938,1336919.212401627,1406900.016901584,1280700.8133534673,1290759.2131120889,1424757.245517823,1416243.919071676,1402987.2125842397,1293112.8182203397,1393071.6347182926,1329836.0208866138,1337036.6637319168,1910457.4752060317,1310605.435601914,2123471.879392197,2122829.3968237983,1285541.9820856927,1291048.6126523432,1406446.4473156966,2145189.6846282603,2118587.0422252994,1366882.8464261335,1384307.506141706,1390703.2498996647,1392999.4408713728,1392071.9965830748,1391154.8329491613,1354598.1467736454,1319469.0052021989,1339941.8868572633,1324102.432760055,1404148.3638033203,1365148.4202459226,1382517.0543198169,1359287.3844653836,1353589.3981805623,1293030.191037588,1292437.9387089384,1311081.386019927,1299340.6929159358,1400913.811108555,1332093.8254795296,1327233.8947501024,1714314.3834460145,1310916.2202882527,1373811.8547879092,2120701.2867392465,1389672.8668454008,1421073.3895781583,1403528.9017603842,1385807.8964224914,1279600.0849728805,1389389.5226130106,1420330.9615353064,1350272.3607717566,1286510.1599774673,1323211.4090882088,1272994.0209744447,1382716.0108419536,1398682.990058065,1278611.5730427506,1256888.325035298,1279745.8040921483,1361669.6653226255,1411844.909482722,1409851.7489645605,1365740.5825816344,1405213.9002625332,1944692.5188400613,1401753.2856793676,1394246.9183391775,1388458.6616017986,1380094.8328914975,1244420.8346909096,1410612.6238623546,1353878.713783971,1372952.9542362625,1270815.960028383,1372189.6434699502,1421102.8106808371
8,3139461.859892308,1435598.5521997747,1436017.9196921848,1632671.621496466,1419129.0792599916,1649722.699672744,1441806.6405036838,1354123.5083442957,1474920.0168711282,1325709.1576082224,1645872.7614279466,1324833.317929181,1465114.5350910127,1420246.3840446554,1465720.773783301,1398161.3119016893,1830963.2008977334,1346814.1818942137,1439133.4092353622,1349742.7913192336,1349081.904587081,1362455.7809971238,1456961.517846021,1301699.6787793222,1313204.1635959714,1475792.059158877,1466688.4133430808,1453129.6713931751,1317838.4819725668,1442423.0104459994,1354867.7953275722,1363726.9252410424,1613755.7884418354,1331969.5135745346,1828804.5196823718,1828100.1530639569,1309749.7729220295,1315440.5044076203,1455687.8393757273,1853680.6948585978,1823185.153332197,1415754.7899225366,1433656.1041991645,1439811.9153915886,1442692.9691499749,1441010.5313962344,1439699.5642717835,1401770.0377517946,1344356.5114956724,1365706.3138688728,1349549.367889498,1454341.864953059,1412782.4065313083,1429477.7516266885,1385888.581223774,1401861.8071761744,1314351.9466753325,1316870.3346110915,1335337.71388394,1323638.5423927424,1451174.864993884,1357483.6587409726,1352340.727042646,1418978.584870353,1333942.04953673,1422462.4905624269,1825448.0715794773,1438625.7003945473,1471641.964915201,1454098.7551004149,1434735.1825980041,1301293.16294338,1437736.8002084051,1471060.409446524,1397673.6992713658,1310499.1662107713,1348667.3192708811,1294327.994746097,1431996.357245367,1448727.661721095,1300366.1212915655,1277780.263772218,1300916.876985572,1409640.5572880928,1461901.2696974545,1460878.7741458116,1414597.129838202,1455660.3553187575,1652420.6285934772,1452055.0449970933,1443243.1711791803,1437674.0245012944,1429717.661756537,1264929.727295915,1461850.8054880018,1400797.329738821,1422198.9191398656,1292271.8149709771,1421492.150837578,1471435.2950307587
9,3015210.388948286,1487557.3064927065,1487572.7205457452,1323032.3687121856,1469920.0401611896,1342060.335507658,1493467.7665098528,1382327.3832938864,1526913.831232278,1355967.309899535,1337882.654137864,1352799.4589869701,1518065.279266201,1471511.588228965,1519381.6475118035,1448366.0209024118,1521612.054206798,1374766.8620055234,1489866.1418470966,1378874.6221634133,1376895.3651587684,1391356.8559042246,1509605.9183669079,1329241.580052656,1342216.471278976,1529286.9967347835,1519567.5571666278,1505711.301103469,1345629.7187297363,1494436.878257614,1383298.018049389,1393673.9751539575,1301932.2731442193,1360041.8684121817,1519142.4278977695,1518381.7038623348,1337247.3218295467,1342873.9079991267,1507493.4355668772,1547311.2772024465,1512727.607989536,1467190.0224854518,1485366.4227275148,1491663.1213872158,1495035.6369710236,1492543.3049082728,1490902.1168268565,1451641.6828172375,1372351.6421548184,1396975.9054663966,1378233.7468193206,1506907.220444909,1463188.9355540345,1479022.0383568597,1416002.571831635,1452680.4692217838,1342404.0731173954,1346616.8736889728,1363038.1087520919,1351288.8556540413,1503970.7396296198,1389581.6666668619,1380718.2542946907,1276622.5605554045,1363492.3989691343,1473889.130148326,1515214.8932006992,1490291.0008769752,1524670.8682551074,1507136.7663985256,1486271.8025171615,1329494.2387137196,1488731.6841523868,1524201.4372978464,1447782.825308547,1340698.8154973069,1377494.59011122,1321978.2261796712,1483696.941624303,1501294.9739814443,1328658.2350025517,1305099.642653914,1328967.8118028839,1460042.859347621,1514670.3492999792,1514259.0395305355,1465964.2569723981,1508674.2323392741,1345167.1534367802,1504711.478755401,1494582.4608636482,1489560.5600426765,1482037.8883701342,1291834.2646603233,1515456.6776920543,1450178.218213485,1473935.5748415566,1320173.5936284408,1473237.9005628529,1524335.4275307816
