,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9
0,3941300.8512625294,3218377.2669330896,3218374.628979176,3218379.3773080497,3218379.937718572,3218381.659188151,3218378.401111118,3218379.246658123,3218378.6904285355,3218374.2318345867
1,3857126.33854845,2413746.664230562,2413744.2704862067,2413749.0934366398,2413747.8255226067,2413751.1436685864,2413748.507977477,2413747.7207293306,2413749.3008785797,2413747.5264932527
2,3768723.2370964005,1607505.3149565728,1607503.7106383573,1607507.9332994185,1607504.869201593,1607509.4608216952,1607507.8878544578,1607505.4409586065,1607509.2003646686,1607508.8822262073
3,3675878.2102556913,1258918.0247255617,1258918.0037221012,1258917.9885753833,1258918.0355950715,1258917.9852210549,1258917.9837493598,1258918.0187453323,1258917.963959418,1258917.9215956465
4,3578366.8417880796,1280868.7374653735,1280868.7161964078,1280868.7305154381,1280868.7436524061,1280868.7384420745,1280868.716318654,1280868.7312236915,1280868.7296592584,1280868.8124405378
5,3475953.449576437,1314875.0962551886,1314875.0929776672,1314875.1054157359,1314875.0857452783,1314875.1301840984,1314875.106325608,1314875.156544046,1314875.1152808883,1314875.0937793734
6,3368390.135734269,1356001.515730223,1356001.5420980556,1356001.548492632,1356001.5220858,1356001.5172207307,1356001.5347807535,1356001.5629376804,1356001.5591130634,1356001.5218361975
7,3255416.454202232,1401969.7972071273,1401969.8207225213,1401969.8778535114,1401969.7340163533,1401969.7599407772,1401969.8168789148,1401969.7455122336,1401969.7757213935,1401969.8453857703
8,3136758.598915109,1451334.3307986427,1451334.3107395635,1451334.4000231575,1451334.3712861435,1451334.2301235134,1451334.3032838586,1451334.3268303147,1451334.3727749062,1451334.2803659176
9,3012128.7648525466,1503321.1142175617,1503321.149462669,1503321.1177243786,1503321.060865626,1503321.074013642,1503321.1431444886,1503321.0858708192,1503321.112183431,1503321.172374704
10,2881224.3462662017,1557283.8997122194,1557283.7979386635,1557283.787079539,1557283.7345299574,1557283.9237489954,1557283.780127626,1557283.8581269186,1557283.7591432226,1557283.9497302417
11,2743727.2612463376,1613001.2955976417,1613001.273878343,1613001.2844852426,1613001.2947237338,1613001.241727229,1613001.3413323923,1613001.304372863,1613001.3113389988,1613001.3010807738
12,2599303.098973422,1670026.7251469546,1670026.7625485237,1670026.7665463143,1670026.7622115454,1670026.7348081502,1670026.7277394333,1670026.7570951765,1670026.7594893659,1670026.7318354798
13,2447600.2024404034,1728149.1747993818,1728149.1728549886,1728149.1536062502,1728149.16547728,1728149.1668408995,1728149.1795033072,1728149.1570956379,1728149.1682215743,1728149.1662756263
14,2288248.7171752215,1787378.7705373892,1787378.7666643036,1787378.7452527417,1787378.7594453911,1787378.7635185297,1787378.7777643164,1787378.7505981706,1787378.7616029899,1787378.762731039
15,2120859.897710881,1847474.664541732,1847474.6852409549,1847474.7111449556,1847474.7260214128,1847474.7377203072,1847474.7387311447,1847474.7078154967,1847474.6581835411,1847474.727875303
16,1945024.604043963,1908196.895530221,1908196.902547928,1908196.8629070395,1908196.85473734,1908196.884170908,1908196.8741058388,1908196.8765437428,1908196.8948474752,1908196.8701502783
17,1760312.6211996195,1969729.2057941535,1969729.211473672,1969729.1720068424,1969729.1643929188,1969729.1927868358,1969729.1841802248,1969729.185792475,1969729.2051864644,1969729.1799381976
18,1566271.228002526,2031824.7851894647,2031824.7526196719,2031824.7520090318,2031824.7543074149,2031824.7442720823,2031824.7887059052,2031824.7623966746,2031824.7953172524,2031824.780470866
19,1362424.3412148426,2094514.7774982452,2094514.7451505929,2094514.7443176557,2094514.7471533222,2094514.7367296664,2094514.7802707443,2094514.7544032012,2094514.7870451177,2094514.7721182809
20,1256284.9752517787,2157666.0217775735,2157666.0142583167,2157665.9920510286,2157666.0129587282,2157666.0050377077,2157665.991711952,2157665.995962076,2157666.007514618,2157665.993782281
21,1257612.6877976093,2221448.7425518385,2221448.7352497703,2221448.7138076476,2221448.733783046,2221448.7261689007,2221448.7134709647,2221448.717558984,2221448.728773416,2221448.7154040416
22,1261261.4128199632,2285459.3649552222,2285459.357928856,2285459.337213962,2285459.3563336954,2285459.3490026253,2285459.336825625,2285459.3407600126,2285459.3516454473,2285459.3385761604
23,1266944.3914790454,2350154.9765801686,2350154.977759293,2350154.9774859706,2350154.973355754,2350154.9747876334,2350154.9782592156,2350154.975830563,2350154.9785444424,2350154.9750641678
24,1274676.5657942845,2415197.655205508,2415197.656426271,2415197.6563017806,2415197.6520472057,2415197.653485229,2415197.6569240172,2415197.6546020545,2415197.6571389083,2415197.6537345583
25,1284198.3082760603,2480473.5578143434,2480473.5590755427,2480473.5590830725,2480473.5547289816,2480473.556157261,2480473.5595460907,2480473.5573419807,2480473.559700736,2480473.556370672
26,1295593.2701412763,2546273.949731898,2546273.95040853,2546273.9509579195,2546273.947852509,2546273.948785424,2546273.9506005137,2546273.9498699647,2546273.9504381893,2546273.9488467784
27,1308704.6130244215,2612519.7510894905,2612519.7518403903,2612519.752567019,2612519.749297436,2612519.750242542,2612519.7520518573,2612519.751406348,2612519.7518025776,2612519.7502750913
28,1323675.360380943,2679004.0960437753,2679004.096865899,2679004.0977706998,2679004.0943311527,2679004.095291016,2679004.0970924566,2679004.096538633,2679004.096757988,2679004.095295795
29,1340470.2704954613,2745728.109542409,2745728.110467867,2745728.1115832725,2745728.1079533827,2745728.1089186324,2745728.110725975,2745728.110245023,2745728.1102838027,2745728.1088884664
30,1359071.2236483465,2812864.263494417,2812864.264436125,2812864.2661005394,2812864.262989528,2812864.263666624,2812864.2647363944,2812864.2649249057,2812864.2639710214,2812864.2635048665
31,1379522.8315926553,2880497.8578265687,2880497.8588487217,2880497.860711584,2880497.857394365,2880497.858092683,2880497.8591558863,2880497.85944275,2880497.858300199,2880497.8579008873
32,1401872.6589279235,2948376.51815347,2948376.5192643516,2948376.521337329,2948376.5177997844,2948376.518519466,2948376.5195763153,2948376.519964876,2948376.51862592,2948376.5182975177
33,1426170.727224784,3016501.616876596,3016501.6180895353,3016501.6203878275,3016501.6166128614,3016501.617352707,3016501.618405404,3016501.618897557,3016501.6173536787,3016501.6171007333
34,1452469.3031779062,3084874.5898689223,3084874.5911986395,3084874.5937395585,3084874.5897073285,3084874.5904663675,3084874.5915174573,3084874.592114739,3084874.590356754,3084874.5901848455
35,1480824.491665937,3153496.940500626,3153496.941898636,3153496.944686145,3153496.940373301,3153496.941178316,3153496.942199123,3153496.942913538,3153496.940937823,3153496.9408608004
36,1511331.338205039,3222595.222965909,3222595.2243749658,3222595.227548086,3222595.223343937,3222595.224035235,3222595.22460089,3222595.225781864,3222595.2231616015,3222595.223618862
37,1544183.1642001248,3292070.5638200985,3292070.5653948574,3292070.568871916,3292070.564332403,3292070.565042595,3292070.565617889,3292070.566905568,3292070.5640422944,3292070.564603116
38,1579322.7430387365,3361800.9276694325,3361800.92942133,3361800.933224297,3361800.928320448,3361800.9290518393,3361800.9296372253,3361800.9310346073,3361800.9279160597,3361800.9285931904
39,1616818.605947442,3431788.039595826,3431788.0415404257,3431788.0456945705,3431788.0403948645,3431788.041147831,3431788.04174575,3431788.0432545315,3431788.039867226,3431788.0406752676
40,1656798.513387947,3502033.6854017354,3502033.687555344,3502033.6920879185,3502033.6863590665,3502033.687133083,3502033.687746726,3502033.6893683323,3502033.685697521,3502033.686653481
41,1699594.7272310203,3572539.7120415634,3572539.7144198027,3572539.7193595027,3572539.713166799,3572539.7139606937,3572539.7145936713,3572539.716329473,3572539.712359175,3572539.7134827403
42,1745028.6381443301,3643308.0280314214,3643308.0306494627,3643308.0360264927,3643308.02933344,3643308.030145322,3643308.0308020716,3643308.0326527786,3643308.0283660167,3643308.02967947
43,1793312.9461790056,3714340.604289068,3714340.607166485,3714340.613011641,3714340.605771725,3714340.606603409,3714340.6072949045,3714340.6092532715,3714340.6046368615,3714340.606163966
44,1844781.036815751,3785639.4696924505,3785639.4727991624,3785639.4791231463,3785639.4713159273,3785639.4721642057,3785639.472923541,3785639.4749874403,3785639.4700308423,3785639.471812346
45,1899211.3905165468,3857418.6003324958,3857418.6038027415,3857418.610763771,3857418.6024937555,3857418.603245167,3857418.6038598856,3857418.606172129,3857418.6006379593,3857418.6028837874
46,1957217.4876839248,3929516.799230857,3929516.803010856,3929516.810544936,3929516.8015886275,3929516.802347951,3929516.8030297216,3929516.805428788,3929516.7995157987,3929516.8020605776
47,2018530.265006305,4001887.183245164,4001887.187334624,4001887.195476751,4001887.1857980336,4001887.1865544193,4001887.1873098775,4001887.1897945777,4001887.1834806167,4001887.1863599503
48,2081169.4154273781,4074531.9349553334,4074531.939344969,4074531.948129676,4074531.937697097,4074531.938435968,4074531.9392713467,4074531.9418422077,4074531.9351035743,4074531.9383565215
49,2144133.6707711504,4147453.285092746,4147453.289764832,4147453.2992268126,4147453.288012959,4147453.28871565,4147453.2896371926,4147453.29229578,4147453.2851075716,4147453.2887758366
50,2207864.6032463536,4220653.5109596215,4220653.515888448,4220653.526063091,4220653.514044175,4220653.514687593,4220653.515701798,4220653.518450301,4220653.510786631,4220653.514913844
51,2271823.213135634,4294134.934279343,4294134.939418368,4294134.950342029,4294134.937512904,4294134.938062658,4294134.93916821,4294134.942021044,4294134.933847449,4294134.938480487
52,2336346.9818256586,4367899.92110733,4367899.926420739,4367899.938131635,4367899.924470014,4367899.924895214,4367899.926102302,4367899.929058439,4367899.920349845,4367899.925533816
53,2401336.7231310913,4441950.878353377,4441950.883796592,4441950.896333631,4441950.881821971,4441950.882086523,4441950.883405308,4441950.886465183,4441950.877195383,4441950.882976804
54,2466559.499740431,4516290.252613085,4516290.258132899,4516290.271535788,4516290.256161299,4516290.256223916,4516290.257664548,4516290.260830202,4516290.250971728,4516290.257398332
55,2532203.2296193466,4590920.528422617,4590920.5339572085,4590920.548266474,4590920.532021127,4590920.531835566,4590920.533408069,4590920.536683304,4590920.526207297,4590920.53332798
56,2598395.0544328606,4665844.226540206,4665844.232019137,4665844.247276042,4665844.230156541,4665844.22967208,4665844.231386132,4665844.234776628,4665844.223652732,4665844.231517633
57,2664825.1957927486,4741063.902274544,4741063.9076187415,4741063.923865137,4741063.905872808,4741063.905034968,4741063.906899548,4741063.910412878,4741063.8986092685,4741063.907269872
58,2731494.7654734426,4816582.1440877225,4816582.149209245,4816582.166487849,4816582.147628737,4816582.1463797875,4816582.148402942,4816582.152048345,4816582.13953155,4816582.149040387
59,2798489.4235798637,4892401.571662843,4892401.576466475,4892401.594825046,4892401.575110624,4892401.573387872,4892401.5755751915,4892401.579363158,4892401.566095567,4892401.576502436
60,2866067.786070012,4968524.834338361,4968524.838730084,4968524.85823206,4968524.837677505,4968524.835409729,4968524.837758483,4968524.841700119,4968524.82763466,4968524.838978218
61,2933890.940454526,5044954.610078033,5044954.613975589,5044954.634712505,5044954.61333368,5044954.610437397,5044954.612929562,5044954.617035554,5044954.602109954,5044954.6144081745
62,3001960.247465311,5121693.604512285,5121693.607852572,5121693.629952579,5121693.60776349,5121693.604140955,5121693.606738458,5121693.6110176975,5121693.595151013,5121693.608394598
63,3070277.130735784,5198744.550068818,5198744.552808109,5198744.576435063,5198744.553446909,5198744.548987861,5198744.55163261,5198744.556091069,5198744.539184853,5198744.553337706
64,3138843.0809295587,5276213.251796544,5276213.2537860405,5276213.278671953,5276213.254960086,5276213.249756501,5276213.252300278,5276213.257147296,5276213.239222085,5276213.254740669
65,3207815.3608138836,5354012.24734498,5354012.24849895,5354012.274890246,5354012.250392433,5354012.244321443,5354012.2468602015,5354012.2519414555,5354012.232958013,5354012.249595626
66,3277233.5756335557,5432127.706596546,5432127.706764328,5432127.73467758,5432127.709427504,5432127.702452348,5432127.704975184,5432127.710300891,5432127.690233556,5432127.708065222
67,3346906.474351708,5510562.26190027,5510562.260931518,5510562.29038088,5510562.264413777,5510562.256501737,5510562.258993403,5510562.264570868,5510562.2433941,5510562.262495228
68,3416835.7707218817,5589318.554735265,5589318.552481213,5589318.583477396,5589318.556830251,5589318.547952408,5589318.550394798,5589318.556227163,5589318.533915605,5589318.554362324
69,3487023.2391068446,5668399.233728937,5668399.230043767,5668399.262593033,5668399.235304873,5668399.225435695,5668399.227809506,5668399.233894398,5668399.210422845,5668399.232292388
70,3557470.7149184,5747806.952501883,5747806.947244047,5747806.981347334,5747806.953459624,5747806.94257642,5747806.944862769,5747806.951191009,5747806.926534229,5747806.949905277
