,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9
0,3941300.8512559854,3218375.0415298715,3218376.1004706468,3218377.624985436,3218378.896036176,3218380.4733464248,3218380.7492803964,3218378.114509219,3218372.496634936,3218378.0389143806
1,3857126.338603236,2413746.2415367295,2413745.8243043236,2413745.719322902,2413748.8111169105,2413749.31603436,2413751.682409959,2413746.6979502966,2413744.495600464,2413746.6820469582
2,3768723.237105325,1607507.2100174453,1607505.0780439943,1607503.2956221162,1607508.0327486815,1607507.1442490648,1607511.810703276,1607504.6938529327,1607504.556420494,1607504.7319962948
3,3675878.2103286986,1258917.9603636987,1258918.0089623302,1258918.0306413567,1258917.9755618747,1258918.0113541912,1258917.9341687136,1258918.011777867,1258917.977277334,1258918.0179847016
4,3578366.8419456407,1280868.7143921535,1280868.7193877865,1280868.723881212,1280868.7323343481,1280868.731354582,1280868.743674649,1280868.7433595036,1280868.7380070304,1280868.7485693041
5,3475953.4500291687,1314875.1080274757,1314875.1001976186,1314875.0897548667,1314875.1009570442,1314875.0675245775,1314875.1175685606,1314875.115435211,1314875.09022012,1314875.104181517
6,3368390.1365980916,1356001.5008142137,1356001.5286661624,1356001.5390678593,1356001.5028304553,1356001.5252375028,1356001.5572683867,1356001.5468337422,1356001.5222855671,1356001.5490258837
7,3255416.455791229,1401969.8910635915,1401969.8220666554,1401969.7472688956,1401969.7415516316,1401969.8191168967,1401969.7123800863,1401969.7706227372,1401969.7278152418,1401969.806865345
8,3136758.601586414,1451334.3037997028,1451334.3670561523,1451334.2914900451,1451334.2292056899,1451334.2849524969,1451334.3071377773,1451334.321742093,1451334.288750403,1451334.3709922652
9,3012128.7694198564,1503321.0962989214,1503321.0717310675,1503321.143484101,1503321.1713212267,1503321.1090999756,1503321.1196784077,1503320.9965951478,1503321.1013050743,1503321.1314809201
10,2881224.353447809,1557283.9718703523,1557283.7517638647,1557283.8202024726,1557283.9166798913,1557283.7880166094,1557283.8306371423,1557283.9001216262,1557283.7297755114,1557283.7860315302
11,2743727.271873322,1613001.2669593685,1613001.2696581883,1613001.3149555912,1613001.319827485,1613001.2911899667,1613001.25638383,1613001.2765894844,1613001.288713345,1613001.3050991585
