,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30,Trial31,Trial32,Trial33,Trial34,Trial35,Trial36,Trial37,Trial38,Trial39,Trial40,Trial41,Trial42,Trial43,Trial44,Trial45,Trial46,Trial47,Trial48,Trial49,Trial50,Trial51,Trial52,Trial53,Trial54,Trial55,Trial56,Trial57,Trial58,Trial59,Trial60,Trial61,Trial62,Trial63,Trial64,Trial65,Trial66,Trial67,Trial68,Trial69,Trial70,Trial71,Trial72,Trial73,Trial74,Trial75,Trial76,Trial77,Trial78,Trial79,Trial80,Trial81,Trial82,Trial83,Trial84,Trial85,Trial86,Trial87,Trial88,Trial89,Trial90,Trial91,Trial92,Trial93,Trial94,Trial95,Trial96,Trial97,Trial98,Trial99
0,3943006.633007256,3188292.622353649,3198242.026191748,3713744.343237162,3171364.7016413463,3193136.6358287153,3182045.1338252136,3176469.8813984497,3641897.2259628903,3618598.906348813,3176565.0289010406,3209020.201815237,3618083.392890407,3687126.026851963,3823242.6815468925,3270544.1081697987,3197916.2662239117,3217432.5600151587,3637568.3307878454,3605773.1934115146,3629235.6091455445,3831068.5557921953,3269016.9693074217,3252781.915415016,3821178.689325778,3213388.616171592,3693698.755911124,3646219.9941122923,3627559.389924009,3178922.0427024732,3618563.7614723067,3266286.1924242,3196421.012864128,3221515.8671699595,3228074.985117937,3626474.5584888584,3626700.042700735,3610459.9479859928,3619564.581169936,3188468.594288291,3833481.5276576686,3680406.699643415,3671883.079773834,3618993.464756572,3195472.2542551444,3830358.2657478093,3623875.3486648453,3208214.0924263294,3194485.749188781,3644548.8326229146,3285683.84036056,3228365.483235909,3336103.484729759,3258208.0453942674,3161304.0672522243,3262395.120306219,3631150.1311930465,3248335.444243322,3633632.090300262,3200611.659405619,3205307.1902921717,3412407.8946750085,3687818.5727802957,3181884.4594677617,3244049.4795407066,3630605.4882790605,3203023.6622202625,3203551.9783728807,3622316.7010159963,3127722.178266842,3199600.5527045312,3657382.9483663444,3826620.721168296,3198352.540308152,3326911.516356355,3235509.020539651,3664508.4315922833,3249491.400032063,3836880.3446963704,3614535.932978788,3196786.8923707744,3624409.7856277158,3208757.696252967,3620621.0220513567,3211746.504913949,3623185.5001038704,3183078.711800039,3299577.077595987,3192588.4750253726,3602047.1027882374,3237888.4108916153,3660852.061872387,3611097.186387886,3604752.378088204,3821945.9398481473,3206878.112994385,3663803.9010957116,3629003.7417718526,3623334.7497653873,3192179.424525577
1,3860618.5772990463,2353761.5691315895,2373536.5300325863,3390417.4821686107,2319727.975333661,2363273.946016617,2341172.4045946067,2329812.351545872,3242582.4392422517,3194656.0685746064,2330137.2167104343,2395147.375723826,3194030.7099899645,3335193.527077939,3614993.3039523438,2516881.804177706,2372727.27340949,2411750.028243693,3233809.372999011,3168706.704636428,3216479.284040742,3630979.7963428856,2514024.705134269,2482603.786417949,3610759.7460498945,2403691.072712165,3348399.982106341,3250924.7229619673,3213193.157701128,2334882.088456025,3194735.2399054845,2507882.6260506483,2369653.4641697644,2419977.358671692,2433082.522497497,3210975.0291308393,3211608.13724424,3178467.913534027,3196704.6677798303,2353830.826849144,3635814.79039962,3321539.795049446,3303946.8829334863,3195948.6476798505,2368052.1895674914,3629514.102087109,3205994.893681269,2393689.6441648807,2366091.598624923,3247683.2653421075,2547033.083857719,2433922.0715405303,2648412.771182431,2875840.81094279,2299548.1241594655,2499845.4041420566,3220446.8956072233,2473801.83623312,3225582.045320283,2378304.9304994303,2387473.014206125,2798973.257733959,3336084.7982795998,2340923.943925178,2463735.324559012,3219671.098668041,2383184.669394974,2384133.53146973,3202525.501710104,2231968.2796575455,2376235.7174092405,3466031.2617851645,3621836.5840140157,2373682.7653670544,2629571.314096063,2448322.212240247,3288609.191166745,2862844.1057478283,3642859.3704386926,3186264.3479925347,2370484.205457584,3415846.7338340757,2394456.983744067,3199249.110280477,2400705.8748223055,3204144.2610947457,2343337.1836558315,2574535.8382138317,2362211.793718434,3381722.628292408,2452881.6097643278,3281013.9551888085,3179616.4104241044,3166473.2462570914,3612238.628661724,2390833.5100389235,3287631.804506733,3422715.848507989,3204810.553673439,2361310.57518405
2,3774086.4094696525,1517803.1084908189,1547329.4705242384,3050610.46008795,1466534.4541069889,1531881.5327155297,1498798.8077357586,1481503.4585920714,2822450.3131061336,2748475.8874122854,1482139.991008722,1579752.604389217,2748223.95548358,2964719.7595119504,3396188.274888807,1760214.0737507038,1545879.239941534,1604158.1424857122,2809150.58677655,2939118.1687169652,2782078.4454283863,3420687.444528511,1756479.0873371486,1710973.0408327116,3389708.428071783,1592324.2693846324,2984636.756345017,2834434.2042822232,2777236.4425753043,1489299.4080477722,2748863.9319994235,1746133.906216469,1541133.7155921985,1616771.3802577485,1636510.776634615,2773868.015902159,2775073.446284422,2724251.473645904,2751765.028083558,1517487.554971265,3427939.877064075,2943900.7916590543,2916635.5186715154,2751230.7190612364,1539182.0381552563,3418410.48805252,2766772.0441145035,1577797.9766757158,1536252.8209948698,2829797.9390637195,1805633.4508396576,1638079.2213593612,1958239.3312620993,2473530.686872077,1436192.4175550875,1733717.4545002526,2788250.2324154833,1697812.8661683502,2796141.722255756,1554380.5227817886,1567872.3358425584,2180945.6415867372,2965334.21593637,1498550.1946585372,1680599.329653295,2787736.2468796843,1561933.2082991132,1563048.3278302439,2760926.2862425954,1334316.1495476172,1551397.9271324526,3264853.7529427786,3406581.735581908,1547439.9443007037,1929375.886371427,1659800.2504375225,2892686.302511129,2456133.9613135243,3438894.5551364096,2961164.0431940085,1542307.5968063397,3196717.874047532,1578603.2695909732,2756292.2013863386,1588314.0855296808,2763188.0008952725,1502221.150029777,1846242.5823701604,1530296.4426077297,3150215.6309307534,1666359.6730686387,2880863.220397931,2725903.667316859,2936204.3608402987,3391797.1676800027,1573297.1491325372,2891761.827887092,3205837.1954023396,2984969.5185425794,1528828.5520605955
3,3683200.424455854,1163689.8330022346,1188167.7381844535,2693472.357187909,1094998.0402675238,1171820.6479970277,1131011.8798543462,1113439.623042419,2380377.0904143155,2278843.6070116777,1117458.1870771367,1229015.3869054886,2279529.9194295765,2574692.8226400027,3166289.978333451,1367171.0723522557,1177774.4210138225,1242321.8993803735,2362437.376324648,2697871.49454894,2324789.329981753,3199667.454327075,1378187.0513730764,1383854.823957058,3157436.8500403194,1238808.858205805,2601235.298925767,2395541.366949779,2318532.74262985,1126995.589945834,2279730.568767963,1346704.6463824175,1174271.7799206919,1269373.8326342204,1288715.3572576896,2544157.947045791,2315949.956558744,2246656.361732713,2283557.1458936664,1156793.3040625767,3209321.0344654648,2546380.2650420344,2508922.3050406575,2283680.2004564204,1184141.0009045464,3196472.2696668115,2305078.7251566625,1232857.517163832,1173732.4557004287,2610067.6253978605,1435221.7321834776,1309751.8784901134,1606209.544692684,2050199.1142181675,1051991.8856345683,1315296.76859231,2333375.22356752,1369343.5479836338,2344353.075180829,1200587.1091524607,1204722.4329470363,1741998.7147295678,2574318.448433138,1136415.5980486139,1286488.60612141,2560851.6925539332,1209602.2480758866,1202905.3977269907,2296352.6966296597,934574.590750547,1198365.3008299107,3053332.983898251,3180313.3100992846,1191158.4102978348,1567432.4296644335,1331970.65307447,2475658.2685694294,2028291.3571435483,3224466.6134378067,2724536.4460396483,1176224.0006154268,2966452.0127937347,1225545.4498545541,2290596.8731634193,1241360.9364426907,2299120.573936024,1145847.1116027713,1479920.6893942265,1170730.7342733364,2906956.533961376,1333999.1035207717,2459248.2748703607,2248843.6104132994,2694223.8952001045,3160062.4265106274,1218049.658949425,2475134.2765016896,2977818.465095822,2753993.8291444383,1167863.160521994
4,3587740.1908928305,1192768.9475164618,1201745.2141836064,2318108.6054165377,1107925.0186507355,1189146.1375518562,1141864.5837694067,1121278.028670657,1915180.5595447647,1784485.0347196711,1140612.3988671359,1251830.6356188743,1786722.416025062,2164083.1573457886,2924737.8748718114,1357927.4866480243,1177563.1541921524,1242731.6241570255,1892498.1496090903,2444358.814176106,1843412.8239544479,2967367.3010893036,1345558.5509238208,1418119.6690894165,2913374.0318672885,1259154.117770967,2197021.2494736733,1932971.7973930333,1835880.1368778145,1152549.9195683547,1786150.2875430118,1336918.0623058365,1184313.0278170432,1292965.6425720078,1305307.280581791,2302711.254778833,1833034.0359562142,1744424.8748607726,1790787.201050556,1182340.475864488,2979395.093640087,2128157.947921126,2079614.4123294181,1792113.974981687,1206268.7343811896,2963175.6632192424,1819748.9071110857,1262406.3206673604,1181857.8444428607,2379011.193501088,1434326.7510242548,1356036.3132514455,1543215.5441442565,1604702.2289122883,1048693.8873994667,1316252.6114371722,1854578.5610086506,1400977.6486325094,1868791.5547965602,1224656.3732912317,1211083.9258977808,1585372.1452971783,2161878.8860258423,1155603.357101743,1266388.5678440484,2322461.7934215525,1230591.8993876092,1213593.0542119956,1807571.72121297,945284.291409867,1223817.7520957089,2830936.809242227,2942460.1265658527,1213524.3211372823,1533530.6670974146,1372391.3100054248,2036279.1818965108,1578194.4652142108,2999033.414562253,2475784.4839928197,1188918.7047548718,2724497.7899267506,1249469.5635604197,1801095.4208737093,1264096.037777749,1810674.445681402,1174565.4567105595,1499432.8001538762,1188994.678803511,2651347.076048655,1366625.9611398294,2014925.0415967645,1747152.9612064,2439920.531531552,2916445.7292909757,1232561.590868703,2036615.7492880635,2738067.6125909234,2511307.9669270604,1187938.01488829
5,3487474.1160678086,1229606.2772395723,1225094.480164935,1923563.103008003,1131719.855245511,1218036.997419665,1162721.6639256228,1133945.4411085607,1425623.7712980264,1264053.0782759273,1173931.0261991029,1284630.5901312174,1268597.2902351797,1731677.6128254617,2670953.4899716806,1384105.126546688,1187457.914860453,1248375.023948834,1398075.4033385222,2177955.0751310964,1336620.1078005035,2723188.0444290414,1373164.90684082,1464951.686034938,2656938.475657483,1290803.1004625156,1770794.9026725101,1445393.0833570145,1327976.9016917758,1188653.055887224,1266820.8489934106,1370567.9734342282,1211312.8030938187,1331354.1222861377,1337131.6486686037,2048919.0968084717,1325056.3078442635,1216232.5175868836,1272190.3088338892,1221878.589684259,2737563.137252635,1687964.8820475773,1627559.1268648212,1275249.7163147947,1236356.6786990059,2717922.542557277,1309549.5044783126,1299748.9377424824,1197427.37360837,2136041.559353782,1451272.2899093898,1410750.2993887938,1519756.963261573,1346895.1532261495,1054067.145991389,1354468.9415179754,1350538.021201837,1442757.3198617885,1368098.8254230525,1261209.091705503,1234732.4016977176,1515229.6418866082,1726680.2900221099,1182503.6471603995,1270424.4875841972,2071989.1331594244,1261331.2113012539,1235805.6614219164,1293269.3407042685,967510.1645358272,1259017.8737002853,2597096.2691703276,2692421.3719753535,1250954.8573877444,1583624.6597063174,1421251.5406304505,1573271.2099687457,1346106.1335188223,2762012.0255743526,2214282.0839180565,1215089.0830244212,2470265.6932353973,1284078.4920192482,1286356.6593562851,1293806.400550546,1296504.6251826882,1211367.3748390735,1546916.904345105,1217684.7139076062,2382750.6946896263,1409916.8150853023,1546589.9687568147,1219596.8774447134,2172662.963899669,2660327.0032450855,1258957.4572329794,1574977.9792928298,2485967.4230759,2256312.772404548,1221512.3538069415
6,3382158.5471208515,1271669.8962456132,1255762.574166365,1508833.492654144,1164145.5815534678,1255020.6145828748,1190448.983014678,1150725.8228148222,1358285.8260673436,1168294.9563777542,1213266.5115767599,1323102.440004637,1248486.7816238727,1636584.2891620195,2404242.364166155,1417535.334448987,1204195.021049821,1257615.0589323628,1352415.8176581252,1897993.2669050714,1250123.8141031777,2466495.7348471046,1418477.372372431,1518279.1807638274,2387475.7122517466,1328083.3758214691,1626189.721423341,1332642.8174878706,1283039.4833842304,1231125.8331236807,1224577.8420860893,1415717.3348487928,1246554.317047857,1378181.4253379912,1377339.8056607137,1782135.2387123806,1281840.770661892,1173814.9250642697,1233538.08351552,1269278.0357258054,2483191.593639568,1595008.3159280736,1531649.1768912175,1252091.888110727,1272059.2942528087,2460101.517912439,1299084.2933058233,1341857.5479715392,1218028.0186750575,1880525.3979593103,1473338.6152270357,1470600.9769245528,1564638.2861657613,1297588.3124107185,1066282.7743202618,1398122.0843487438,1258600.0152207997,1490976.7182061798,1305949.233722101,1306955.5513743286,1269409.4403884925,1510029.565208258,1543666.5927879883,1215176.9679473743,1289474.259739538,1808834.8423089222,1299815.0263027372,1265443.436998658,1223019.2650619673,996540.05015109,1299929.4348216255,2351207.29149778,2561073.343996068,1298103.9243291481,1648015.7216570692,1475132.0693383103,1436140.5706860167,1353661.7909041583,2512793.593539481,1939357.5764520455,1248871.9777241708,2203119.539096081,1324248.5898551396,1263890.037585544,1327839.4098491834,1203606.6444514133,1253787.2275765485,1605584.6458215946,1252869.2136832091,2100558.70043042,1460406.6594690105,1384239.9808615837,1191593.8099656417,1891801.5535347965,2391053.3562635924,1293461.4150984623,1480897.3184380613,2220865.558889549,1988375.2106737872,1262784.7605701394
7,3271537.4949895497,1317885.5489372502,1292069.4517330022,1288658.7028875442,1203069.313925252,1297172.9246279777,1223039.6265255956,1171440.5349257565,1361476.9725628926,1150980.0955600254,1256605.277645888,1365473.931626929,1267830.440255263,1578017.8095449838,2123986.502594113,1456209.4888629948,1226402.3518832785,1269731.122219255,1369548.3517734047,1603769.2848558766,1261660.5250333652,2196833.62709394,1469759.0527097613,1575833.333799243,2104296.46699568,1369065.0840384956,1587813.318828197,1329775.6432856787,1290450.0526156756,1277376.0883674049,1239858.232393495,1467362.6471863512,1286661.6726133316,1429912.1299728977,1422360.3807573467,1501682.6243652073,1286919.9553079198,1174984.960966209,1258870.756030808,1321427.9348202243,2215608.920301167,1532874.9543407029,1473800.4639654662,1271865.6904012098,1312186.0671161949,2189099.8798311413,1327761.9100230262,1387335.8393460235,1243349.7673824904,1611799.9588974866,1500363.1643260587,1533943.6176158383,1619224.4928471565,1298559.4644074421,1085152.9142542214,1445416.3962889572,1264380.5572442624,1543716.8810313367,1300784.3813351816,1358948.874223805,1310149.1733307748,1532487.8810634702,1470922.8569811992,1252186.9459044614,1312036.0601003044,1532320.6199251858,1344838.498801179,1300022.1998876256,1221436.1614289375,1030228.4979638747,1344689.1831057686,2092625.7268018206,2423071.316386944,1350316.3636005367,1716812.6132522863,1532438.9825046805,1382292.111535101,1367352.9859215848,2250737.177023609,1650312.3968224195,1287691.4316561709,1922391.3876477422,1368079.0709246872,1283634.594071676,1365262.85890756,1204683.2759531534,1300455.7923846971,1670144.331073694,1292747.9436636888,1804016.9070754035,1515984.268380661,1347830.136152769,1206535.1222832226,1596635.4418269198,2107937.5666106935,1332865.7703209384,1458208.7685424094,1942074.938986733,1706856.1925095164,1308860.3320764971
8,3155341.6411833595,1367647.4090372976,1332228.3311554648,1304222.0693863651,1246547.9696102168,1342575.3252296636,1258965.9047666055,1195749.329588874,1388089.9481378628,1168854.0359326429,1302917.0362768276,1410415.5095975166,1292727.5890275673,1569324.141581686,1829507.0478235271,1499101.519368713,1253457.8605303364,1284487.0769896377,1396927.4618223936,1294568.7339852427,1288574.2523360376,1913355.669123201,1525058.8692820985,1636043.4743783076,1806735.4075750373,1412412.1648496133,1600311.3278653165,1352726.3629093722,1306091.033632586,1326588.0667516636,1264300.8139460029,1523586.9745344375,1330294.5827310046,1484927.842433328,1470548.2375353612,1283821.9081593603,1302205.3289200144,1186061.7737967828,1290666.6745215193,1376608.636946764,1934107.913347849,1478942.0997178406,1463184.1411284336,1300128.176951365,1356309.8704305065,1904211.5153818226,1362995.538831519,1435612.1877282534,1273904.9828711655,1392760.5920779991,1531938.728490201,1599817.0342070716,1678038.6086661771,1322065.8293156317,1110461.5549763008,1495186.5019388597,1285012.4643499719,1600088.914835878,1302724.5986273992,1414727.9147288129,1354788.778895559,1576746.41040813,1478587.125260489,1292855.5477135307,1337707.514825639,1327235.025526445,1394928.266361657,1337912.8872505,1240937.7149976317,1067451.5088130934,1392164.7945932362,1820676.4840919427,2278074.9730521417,1405649.6075395073,1789178.0509211922,1592107.8207468349,1395713.8456511288,1386123.281672638,1975168.0361617173,1346408.8402771717,1330142.885617249,1627386.344818223,1414391.4754315643,1310373.0936326757,1405328.0457134738,1218935.1914224853,1350552.2106608695,1738651.2922158407,1336009.5835584733,1492399.6042196343,1574894.9190803333,1367115.0799994415,1229541.58200602,1286475.9746865788,1810256.54108023,1375671.270639779,1467603.6524265497,1648868.1471465942,1411032.9027236397,1358326.6513413487
9,3033287.997515463,1420693.3876506253,1375079.515852036,1328127.7537171138,1292962.166274426,1390523.4393571022,1297345.8724197003,1223621.8486556737,1420242.3771450894,1193761.2086359172,1351368.414902342,1457508.4072387624,1322421.290673597,1608286.9595417266,1520072.12530415,1545181.3237576254,1284766.1973818333,1301554.9498560426,1431712.3439763053,1148174.773106431,1321579.3703184887,1615347.8227381813,1583299.6795226743,1698524.3572890393,1494051.9238508118,1457761.5341338264,1643372.542002225,1386291.7707380988,1328135.0528110731,1377735.8252562538,1296015.0225774436,1583301.794399758,1376483.6973314036,1542251.5349128393,1521276.6706042076,1276739.684724225,1324732.7460367556,1205221.3841609831,1327787.6223605436,1433977.4604991795,1637940.8770099075,1483865.6751288716,1495918.6098340568,1334486.328031524,1403757.492664156,1604698.5342912434,1403447.7896482497,1485808.5467321028,1312192.7778135089,1363060.7519627025,1567501.5334204878,1667731.3940846287,1739740.1115363892,1353443.3935310082,1140894.633967834,1547329.5889997832,1312644.7338201771,1659498.2383134773,1310292.104572178,1473006.2012978692,1402512.1846062236,1630156.4532265195,1512912.6650830454,1336588.4755647832,1366317.5191012311,1336834.7707160332,1448103.5433455433,1378391.2643362896,1266166.643163282,1107024.0053015202,1441694.827542,1534645.7867717072,2125726.451012096,1462980.857915514,1864397.653810061,1653698.0037319306,1427368.0968653474,1409512.2852140535,1685375.1477119438,1188514.2513727602,1375464.1122802738,1317363.6854846969,1462588.7634674634,1342448.3182269833,1447686.1179899883,1239203.5628492048,1403323.7134456881,1810051.8444092823,1382049.5098246643,1164937.3298263112,1636342.6204864285,1397108.398554715,1259953.6420699356,1139690.2951028212,1497250.5315954762,1420780.5406746194,1485122.2330964236,1340476.9362668341,1276851.8092249953,1410185.8751647489
